gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn,Charges_Per_Tenure,TotalCharges
Male,0,No,47,Yes,Yes,DSL,Month-to-month,25.4,No,0.5291666666666667,1193.8
Female,1,No,65,Yes,Yes,Fiber optic,Month-to-month,108.8,No,1.6484848484848484,7072.0
Male,0,No,5,Yes,No,Fiber optic,Month-to-month,69.75,Yes,11.625,348.75
Male,0,No,51,Yes,Yes,Fiber optic,Month-to-month,94.65,Yes,1.8201923076923079,4827.150000000001
Female,0,No,46,Yes,Yes,Fiber optic,Month-to-month,96.05,Yes,2.043617021276596,4418.3
Female,0,No,9,Yes,Yes,Fiber optic,Month-to-month,76.85,No,7.685,691.65
Female,0,No,8,Yes,No,DSL,Two year,20.25,No,2.25,162.0
Male,0,No,14,Yes,Yes,DSL,One year,24.8,No,1.6533333333333333,347.2
Female,0,No,45,Yes,Yes,Fiber optic,Month-to-month,115.65,No,2.514130434782609,5204.25
Female,0,No,8,Yes,Yes,Fiber optic,Month-to-month,74.6,No,8.288888888888888,596.8
Male,1,Yes,1,Yes,No,DSL,Month-to-month,50.15,Yes,25.075,50.15
Male,0,Yes,66,Yes,No,Fiber optic,One year,103.15,No,1.5395522388059701,6807.900000000001
Male,0,Yes,72,Yes,Yes,DSL,Two year,72.1,No,0.9876712328767122,5191.2
Female,0,No,41,Yes,Yes,Fiber optic,Month-to-month,113.6,Yes,2.7047619047619045,4657.599999999999
Female,0,Yes,23,Yes,Yes,DSL,Two year,25.1,No,1.0458333333333334,577.3000000000001
Female,0,No,29,Yes,No,Fiber optic,Month-to-month,78.9,Yes,2.6300000000000003,2288.1000000000004
Female,0,No,4,Yes,Yes,Fiber optic,Month-to-month,80.15,No,16.03,320.6
Male,0,Yes,6,Yes,Yes,DSL,Two year,25.4,No,3.6285714285714286,152.39999999999998
Female,1,No,67,Yes,Yes,Fiber optic,One year,105.4,No,1.55,7061.8
Male,1,Yes,7,Yes,No,DSL,Month-to-month,45.75,No,5.71875,320.25
Male,0,Yes,56,Yes,Yes,DSL,One year,24.45,No,0.42894736842105263,1369.2
Female,0,No,72,Yes,Yes,DSL,Two year,25.0,No,0.3424657534246575,1800.0
Male,0,No,72,Yes,Yes,DSL,Two year,85.25,No,1.167808219178082,6138.0
Male,0,Yes,23,Yes,No,DSL,Two year,19.6,No,0.8166666666666668,450.8
Female,0,Yes,35,Yes,Yes,DSL,Month-to-month,50.15,No,1.3930555555555555,1755.25
Male,1,No,27,Yes,No,Fiber optic,Month-to-month,70.55,No,2.519642857142857,1904.85
Female,0,Yes,26,Yes,Yes,DSL,Month-to-month,60.05,Yes,2.224074074074074,1561.3
Male,0,Yes,12,Yes,Yes,DSL,One year,26.4,No,2.0307692307692307,316.79999999999995
Female,0,No,40,Yes,No,DSL,Two year,20.15,No,0.49146341463414633,806.0
Male,0,Yes,7,No,No,DSL,Month-to-month,58.85,No,7.35625,411.95
Male,0,Yes,70,Yes,Yes,Fiber optic,Month-to-month,97.55,No,1.373943661971831,6828.5
Male,0,Yes,60,Yes,No,DSL,Two year,19.65,No,0.3221311475409836,1179.0
Male,0,Yes,39,No,No,DSL,One year,25.25,No,0.63125,984.75
Male,0,No,72,Yes,Yes,Fiber optic,Two year,114.45,No,1.5678082191780822,8240.4
Female,0,No,1,No,No,DSL,Month-to-month,34.7,Yes,17.35,34.7
Male,0,Yes,54,Yes,Yes,DSL,One year,70.7,No,1.2854545454545454,3817.8
Male,0,No,3,Yes,Yes,Fiber optic,Month-to-month,85.3,Yes,21.325,255.89999999999998
Female,0,Yes,63,Yes,No,DSL,Two year,75.55,No,1.18046875,4759.65
Male,0,Yes,71,Yes,Yes,Fiber optic,Two year,84.8,No,1.1777777777777778,6020.8
Female,0,No,42,Yes,No,DSL,One year,20.65,No,0.48023255813953486,867.3
Male,0,No,47,Yes,No,DSL,Two year,20.45,No,0.42604166666666665,961.15
Female,0,Yes,66,Yes,Yes,Fiber optic,One year,102.45,Yes,1.5291044776119402,6761.7
Female,0,No,21,Yes,Yes,Fiber optic,Month-to-month,104.4,Yes,4.745454545454546,2192.4
Male,0,No,11,No,No,DSL,Month-to-month,35.65,No,2.970833333333333,392.15
Male,0,Yes,1,Yes,Yes,Fiber optic,Month-to-month,99.75,Yes,49.875,99.75
Female,1,No,55,Yes,Yes,Fiber optic,Month-to-month,90.45,No,1.6151785714285716,4974.75
Male,0,No,69,Yes,Yes,Fiber optic,Two year,97.65,No,1.395,6737.85
Female,1,No,3,Yes,No,Fiber optic,Month-to-month,73.85,No,18.4625,221.54999999999998
Male,0,No,4,Yes,No,DSL,Month-to-month,74.4,Yes,14.88,297.6
Male,1,No,30,Yes,Yes,DSL,Two year,69.1,No,2.229032258064516,2073.0
Female,0,No,5,Yes,Yes,Fiber optic,Month-to-month,82.75,No,13.791666666666666,413.75
Female,0,No,71,Yes,Yes,DSL,Two year,24.4,No,0.33888888888888885,1732.3999999999999
Female,0,No,29,Yes,Yes,DSL,One year,55.25,No,1.8416666666666666,1602.25
Male,0,No,52,Yes,Yes,DSL,Month-to-month,61.35,No,1.1575471698113209,3190.2000000000003
Male,0,No,68,Yes,Yes,DSL,One year,76.75,No,1.1123188405797102,5219.0
Female,0,Yes,46,Yes,No,DSL,Two year,19.4,No,0.4127659574468085,892.4
Male,0,No,8,Yes,No,DSL,Month-to-month,54.75,No,6.083333333333333,438.0
Male,0,No,72,Yes,No,DSL,Two year,19.7,No,0.26986301369863014,1418.3999999999999
Female,0,No,17,Yes,No,DSL,One year,19.9,No,1.1055555555555554,338.29999999999995
Male,0,No,3,Yes,No,Fiber optic,Month-to-month,107.95,No,26.9875,323.85
Female,1,No,2,Yes,No,Fiber optic,Month-to-month,83.8,No,27.933333333333334,167.6
Female,0,No,9,Yes,No,Fiber optic,Month-to-month,74.25,Yes,7.425,668.25
Female,0,No,51,No,No,DSL,One year,56.4,No,1.0846153846153845,2876.4
Female,0,Yes,6,Yes,No,DSL,Two year,20.1,No,2.8714285714285714,120.60000000000001
Female,0,No,3,Yes,Yes,Fiber optic,Month-to-month,94.9,No,23.725,284.70000000000005
Female,1,No,17,Yes,Yes,Fiber optic,Month-to-month,94.2,No,5.233333333333333,1601.4
Male,0,No,30,Yes,Yes,DSL,Month-to-month,49.9,No,1.6096774193548387,1497.0
Male,0,No,31,Yes,Yes,DSL,Month-to-month,71.05,No,2.2203125,2202.5499999999997
Female,0,No,45,Yes,No,DSL,Two year,81.65,No,1.7750000000000001,3674.2500000000005
Male,0,No,64,Yes,Yes,Fiber optic,One year,89.45,No,1.3761538461538463,5724.8
Male,0,No,1,Yes,Yes,DSL,Month-to-month,59.85,Yes,29.925,59.85
Female,1,No,1,Yes,No,Fiber optic,Month-to-month,69.6,Yes,34.8,69.6
Male,1,Yes,61,Yes,Yes,Fiber optic,One year,99.0,No,1.596774193548387,6039.0
Male,0,No,1,Yes,No,DSL,Month-to-month,19.05,No,9.525,19.05
Male,0,No,9,No,No,DSL,Month-to-month,45.4,Yes,4.54,408.59999999999997
Male,0,Yes,72,Yes,Yes,Fiber optic,Two year,114.45,No,1.5678082191780822,8240.4
Female,0,No,1,Yes,No,DSL,Month-to-month,19.5,Yes,9.75,19.5
Female,0,No,7,Yes,No,DSL,Month-to-month,44.25,No,5.53125,309.75
Female,0,No,66,Yes,Yes,Fiber optic,One year,90.55,No,1.3514925373134328,5976.3
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,69.9,Yes,34.95,69.9
Male,0,Yes,40,Yes,No,DSL,Month-to-month,20.4,No,0.49756097560975604,816.0
Male,0,No,16,Yes,Yes,DSL,Month-to-month,71.4,No,4.2,1142.4
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,87.15,Yes,29.05,174.3
Male,0,No,67,Yes,Yes,DSL,Two year,24.85,No,0.36544117647058827,1664.95
Female,0,No,41,Yes,No,Fiber optic,One year,104.45,No,2.486904761904762,4282.45
Female,0,Yes,56,Yes,No,DSL,Two year,19.8,No,0.3473684210526316,1108.8
Female,0,No,72,Yes,Yes,Fiber optic,Two year,116.45,No,1.595205479452055,8384.4
Female,0,Yes,3,Yes,Yes,Fiber optic,Month-to-month,84.75,Yes,21.1875,254.25
Female,0,No,54,Yes,No,DSL,Two year,20.05,No,0.36454545454545456,1082.7
Male,1,No,52,Yes,Yes,Fiber optic,Month-to-month,110.75,No,2.089622641509434,5759.0
Female,0,No,50,Yes,No,Fiber optic,Two year,89.7,No,1.7588235294117647,4485.0
Male,0,No,14,Yes,Yes,Fiber optic,Month-to-month,89.95,Yes,5.996666666666667,1259.3
Male,0,No,27,Yes,No,DSL,One year,48.7,No,1.7392857142857143,1314.9
Female,1,No,72,Yes,Yes,Fiber optic,Two year,96.6,No,1.3232876712328767,6955.2
Male,0,No,62,Yes,No,DSL,One year,74.3,No,1.1793650793650794,4606.599999999999
Female,0,No,12,Yes,No,DSL,Month-to-month,54.3,No,4.176923076923076,651.5999999999999
Female,1,No,44,Yes,No,DSL,One year,74.85,No,1.663333333333333,3293.3999999999996
Male,0,Yes,54,Yes,No,Fiber optic,Two year,79.95,No,1.4536363636363636,4317.3
Female,0,No,68,Yes,No,DSL,Two year,20.05,No,0.29057971014492756,1363.4
Male,0,No,20,Yes,No,DSL,Month-to-month,19.4,No,0.9238095238095237,388.0
Male,0,Yes,50,Yes,Yes,DSL,One year,54.9,No,1.076470588235294,2745.0
Male,0,No,58,Yes,Yes,DSL,Two year,24.45,No,0.4144067796610169,1418.1
Male,0,Yes,35,Yes,Yes,Fiber optic,Month-to-month,89.65,No,2.490277777777778,3137.75
Female,0,No,2,Yes,No,DSL,Month-to-month,45.4,No,15.133333333333333,90.8
Male,0,Yes,63,Yes,Yes,DSL,Two year,75.7,No,1.1828125,4769.1
Female,0,No,58,Yes,Yes,Fiber optic,One year,110.65,No,1.8754237288135593,6417.700000000001
Female,0,Yes,27,Yes,No,DSL,One year,20.55,No,0.7339285714285715,554.85
Female,0,No,71,Yes,Yes,Fiber optic,Two year,115.15,No,1.5993055555555555,8175.650000000001
Female,0,No,63,Yes,No,DSL,One year,58.55,No,0.91484375,3688.6499999999996
Male,0,No,71,Yes,Yes,Fiber optic,Month-to-month,93.25,No,1.2951388888888888,6620.75
Female,1,No,41,Yes,Yes,Fiber optic,Month-to-month,113.2,Yes,2.6952380952380954,4641.2
Male,1,No,13,Yes,No,Fiber optic,Month-to-month,90.5,Yes,6.464285714285714,1176.5
Male,0,No,2,Yes,No,Fiber optic,Month-to-month,79.0,Yes,26.333333333333332,158.0
Female,0,Yes,68,Yes,No,DSL,Two year,19.35,No,0.2804347826086957,1315.8000000000002
Male,0,Yes,1,Yes,No,DSL,Month-to-month,48.75,No,24.375,48.75
Male,1,No,65,Yes,Yes,Fiber optic,Two year,109.05,No,1.6522727272727273,7088.25
Male,1,No,72,Yes,Yes,DSL,Two year,25.0,No,0.3424657534246575,1800.0
Female,0,No,28,Yes,Yes,DSL,Month-to-month,54.9,No,1.893103448275862,1537.2
Male,0,Yes,72,Yes,Yes,DSL,Two year,24.75,No,0.339041095890411,1782.0
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,91.15,No,30.383333333333336,182.3
Female,0,Yes,18,Yes,No,DSL,One year,20.15,Yes,1.0605263157894735,362.7
Male,1,No,60,Yes,Yes,Fiber optic,One year,104.35,No,1.7106557377049179,6261.0
Female,1,No,26,Yes,Yes,DSL,Month-to-month,66.05,No,2.446296296296296,1717.3
Male,0,Yes,1,Yes,No,Fiber optic,Month-to-month,71.65,Yes,35.825,71.65
Female,0,No,4,Yes,No,DSL,Month-to-month,20.35,Yes,4.07,81.4
Male,0,Yes,68,Yes,Yes,DSL,Two year,92.2,No,1.336231884057971,6269.6
Female,0,No,38,Yes,No,Fiber optic,Month-to-month,84.25,Yes,2.16025641025641,3201.5
Female,1,No,42,Yes,Yes,Fiber optic,One year,105.2,No,2.4465116279069767,4418.400000000001
Female,0,No,57,Yes,No,DSL,Two year,19.6,No,0.33793103448275863,1117.2
Male,0,No,54,No,No,DSL,Month-to-month,30.4,No,0.5527272727272727,1641.6
Female,0,No,12,Yes,No,Fiber optic,Month-to-month,78.1,Yes,6.007692307692308,937.1999999999999
Female,0,No,44,Yes,No,DSL,One year,61.5,No,1.3666666666666667,2706.0
Male,0,Yes,42,Yes,Yes,DSL,Month-to-month,69.4,No,1.6139534883720932,2914.8
Male,0,Yes,72,Yes,Yes,DSL,Two year,24.75,No,0.339041095890411,1782.0
Female,0,Yes,71,Yes,Yes,DSL,Two year,91.05,No,1.2645833333333334,6464.55
Female,0,No,19,Yes,Yes,Fiber optic,Month-to-month,89.65,Yes,4.4825,1703.3500000000001
Female,0,No,23,Yes,Yes,DSL,Month-to-month,73.65,No,3.06875,1693.95
Female,0,No,30,Yes,No,DSL,Two year,19.4,No,0.6258064516129032,582.0
Male,0,No,35,Yes,Yes,DSL,One year,26.2,No,0.7277777777777777,917.0
Female,0,No,10,Yes,Yes,Fiber optic,Month-to-month,98.7,Yes,8.972727272727273,987.0
Male,0,No,1,Yes,No,DSL,Month-to-month,43.85,No,21.925,43.85
Male,0,No,22,Yes,No,Fiber optic,Month-to-month,69.7,No,3.0304347826086957,1533.4
Male,0,Yes,7,No,No,DSL,Two year,38.55,No,4.81875,269.84999999999997
Female,0,No,36,No,No,DSL,Two year,53.1,No,1.4351351351351351,1911.6000000000001
Female,0,Yes,34,Yes,No,DSL,Month-to-month,20.65,No,0.59,702.0999999999999
Male,0,Yes,72,Yes,Yes,DSL,Two year,64.45,No,0.8828767123287672,4640.400000000001
Male,0,Yes,36,Yes,Yes,DSL,Two year,25.1,No,0.6783783783783784,903.6
Female,0,No,1,Yes,No,Fiber optic,Month-to-month,76.35,Yes,38.175,76.35
Female,0,No,23,Yes,Yes,Fiber optic,Month-to-month,79.15,Yes,3.297916666666667,1820.45
Male,1,No,32,Yes,Yes,Fiber optic,Month-to-month,85.0,Yes,2.5757575757575757,2720.0
Female,0,Yes,71,Yes,Yes,Fiber optic,One year,95.15,No,1.3215277777777779,6755.650000000001
Female,1,No,23,Yes,Yes,Fiber optic,Month-to-month,79.35,No,3.30625,1825.05
Male,0,No,17,Yes,No,Fiber optic,One year,96.65,No,5.3694444444444445,1643.0500000000002
Male,0,No,1,Yes,No,DSL,Month-to-month,75.5,No,37.75,75.5
Male,0,Yes,12,Yes,No,DSL,Two year,19.7,No,1.5153846153846153,236.39999999999998
Female,0,No,72,Yes,No,DSL,Two year,20.5,No,0.2808219178082192,1476.0
Male,0,No,1,Yes,No,DSL,Month-to-month,19.2,No,9.6,19.2
Male,1,No,72,Yes,Yes,Fiber optic,Two year,98.35,No,1.3472602739726027,7081.2
Male,0,Yes,60,Yes,Yes,Fiber optic,Month-to-month,74.35,No,1.2188524590163934,4461.0
Female,0,Yes,61,No,No,DSL,Two year,51.35,No,0.8282258064516129,3132.35
Female,0,No,6,Yes,No,DSL,Month-to-month,45.65,No,6.521428571428571,273.9
Male,1,No,32,Yes,Yes,Fiber optic,Month-to-month,85.3,Yes,2.584848484848485,2729.6
Female,0,Yes,31,Yes,Yes,Fiber optic,Month-to-month,86.55,Yes,2.7046875,2683.0499999999997
Male,0,No,19,Yes,No,Fiber optic,Month-to-month,73.85,Yes,3.6925,1403.1499999999999
Male,0,Yes,72,Yes,No,DSL,Two year,20.3,No,0.27808219178082194,1461.6000000000001
Female,0,No,32,Yes,Yes,DSL,Month-to-month,54.2,No,1.6424242424242426,1734.4
Male,0,No,65,Yes,Yes,Fiber optic,Month-to-month,90.65,No,1.3734848484848485,5892.25
Female,0,Yes,45,No,No,DSL,Month-to-month,50.9,No,1.1065217391304347,2290.5
Male,0,No,42,Yes,Yes,DSL,One year,25.05,No,0.5825581395348838,1052.1000000000001
Male,0,No,8,Yes,Yes,Fiber optic,Month-to-month,74.85,No,8.316666666666666,598.8
Male,0,Yes,32,Yes,No,DSL,Two year,20.5,No,0.6212121212121212,656.0
Female,1,No,22,Yes,Yes,DSL,Month-to-month,63.55,No,2.7630434782608693,1398.1
Male,1,No,57,No,No,DSL,Month-to-month,44.85,Yes,0.7732758620689656,2556.4500000000003
Male,0,No,1,Yes,No,DSL,Month-to-month,47.95,No,23.975,47.95
Male,1,No,1,Yes,No,DSL,Month-to-month,45.1,Yes,22.55,45.1
Female,0,No,1,Yes,No,DSL,Month-to-month,45.0,No,22.5,45.0
Male,0,No,24,Yes,No,Fiber optic,Month-to-month,96.0,Yes,3.84,2304.0
Male,0,No,1,Yes,No,DSL,Month-to-month,20.05,Yes,10.025,20.05
Male,1,No,54,Yes,Yes,Fiber optic,Month-to-month,90.05,No,1.6372727272727272,4862.7
Female,0,No,4,Yes,Yes,DSL,Two year,25.3,No,5.0600000000000005,101.2
Male,0,Yes,65,Yes,Yes,Fiber optic,Two year,108.65,Yes,1.6462121212121212,7062.25
Female,0,No,56,Yes,Yes,DSL,One year,24.3,No,0.4263157894736842,1360.8
Male,0,No,45,Yes,No,DSL,Month-to-month,75.95,No,1.6510869565217392,3417.75
Female,0,Yes,71,Yes,No,DSL,Two year,19.7,No,0.2736111111111111,1398.7
Male,0,No,59,Yes,No,DSL,One year,66.4,No,1.1066666666666667,3917.6000000000004
Male,0,No,69,No,No,DSL,One year,35.75,No,0.5107142857142857,2466.75
Male,0,No,19,Yes,No,DSL,One year,18.8,No,0.9400000000000001,357.2
Female,0,Yes,55,Yes,No,DSL,Two year,19.4,No,0.3464285714285714,1067.0
Female,0,No,38,Yes,No,DSL,One year,19.3,No,0.4948717948717949,733.4
Male,0,No,10,Yes,No,DSL,Month-to-month,45.55,Yes,4.140909090909091,455.5
Female,1,No,47,Yes,Yes,DSL,Month-to-month,67.45,No,1.4052083333333334,3170.15
Female,0,No,2,No,No,DSL,Month-to-month,35.1,Yes,11.700000000000001,70.2
Male,0,No,1,Yes,No,DSL,Month-to-month,46.2,Yes,23.1,46.2
Female,0,No,1,Yes,No,DSL,Month-to-month,45.15,Yes,22.575,45.15
Male,1,No,1,No,No,DSL,Month-to-month,43.3,Yes,21.65,43.3
Male,0,Yes,46,Yes,No,DSL,Two year,20.1,No,0.4276595744680851,924.6
Female,1,No,38,Yes,No,DSL,Month-to-month,57.15,Yes,1.4653846153846153,2171.7
Female,0,No,65,Yes,No,DSL,Two year,58.9,No,0.8924242424242425,3828.5
Female,0,No,19,Yes,No,Fiber optic,Month-to-month,73.2,Yes,3.66,1390.8
Male,0,No,52,Yes,No,Fiber optic,Month-to-month,85.35,Yes,1.6103773584905658,4438.2
Male,0,Yes,71,Yes,No,DSL,Two year,19.45,No,0.2701388888888889,1380.95
Female,0,No,1,Yes,No,DSL,Month-to-month,45.95,Yes,22.975,45.95
Female,1,No,52,No,No,DSL,Month-to-month,50.5,No,0.9528301886792453,2626.0
Male,0,No,6,Yes,Yes,DSL,One year,25.1,No,3.585714285714286,150.60000000000002
Female,1,No,26,Yes,No,DSL,One year,60.7,No,2.2481481481481485,1578.2
Male,1,No,48,Yes,Yes,Fiber optic,One year,99.0,No,2.020408163265306,4752.0
Female,0,Yes,64,Yes,Yes,Fiber optic,One year,104.4,No,1.6061538461538463,6681.6
Female,0,No,3,Yes,No,Fiber optic,Month-to-month,83.75,Yes,20.9375,251.25
Male,0,No,1,Yes,No,DSL,Month-to-month,44.05,No,22.025,44.05
Male,0,Yes,72,Yes,Yes,DSL,Two year,24.1,No,0.3301369863013699,1735.2
Male,0,No,1,Yes,No,DSL,Month-to-month,45.55,No,22.775,45.55
Female,0,Yes,51,Yes,Yes,Fiber optic,Month-to-month,93.8,No,1.8038461538461539,4783.8
Female,0,Yes,41,Yes,No,DSL,Two year,19.7,No,0.46904761904761905,807.6999999999999
Female,0,Yes,72,Yes,No,DSL,Two year,70.65,No,0.9678082191780822,5086.8
Female,0,No,43,Yes,Yes,DSL,Two year,86.45,No,1.9647727272727273,3717.35
Male,0,No,72,Yes,Yes,Fiber optic,Two year,114.1,No,1.5630136986301368,8215.199999999999
Male,0,No,47,Yes,Yes,Fiber optic,One year,95.2,No,1.9833333333333334,4474.400000000001
Male,0,No,72,Yes,Yes,DSL,Two year,88.55,No,1.213013698630137,6375.599999999999
Male,0,No,3,Yes,No,DSL,Month-to-month,20.75,No,5.1875,62.25
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,70.05,Yes,35.025,70.05
Male,0,No,2,Yes,Yes,Fiber optic,Month-to-month,86.0,Yes,28.666666666666668,172.0
Male,0,No,26,No,No,DSL,Month-to-month,44.65,No,1.6537037037037037,1160.8999999999999
Male,0,Yes,29,Yes,No,DSL,Month-to-month,60.2,No,2.006666666666667,1745.8000000000002
Female,1,No,35,Yes,Yes,Fiber optic,Month-to-month,100.5,Yes,2.7916666666666665,3517.5
Male,0,No,27,Yes,No,DSL,One year,55.45,No,1.980357142857143,1497.15
Male,0,Yes,24,Yes,No,DSL,Month-to-month,70.3,No,2.812,1687.1999999999998
Male,0,Yes,67,Yes,No,DSL,Two year,60.4,No,0.888235294117647,4046.7999999999997
Female,0,No,16,Yes,Yes,Fiber optic,Month-to-month,72.65,Yes,4.273529411764706,1162.4
Female,0,No,23,Yes,No,DSL,One year,55.8,No,2.3249999999999997,1283.3999999999999
Male,0,No,14,No,No,DSL,Month-to-month,31.1,No,2.0733333333333333,435.40000000000003
Female,0,Yes,1,Yes,No,DSL,Month-to-month,21.0,Yes,10.5,21.0
Female,1,No,1,Yes,No,DSL,Month-to-month,45.1,Yes,22.55,45.1
Male,1,No,4,No,No,DSL,Month-to-month,50.95,No,10.190000000000001,203.8
Male,0,Yes,16,Yes,Yes,DSL,Month-to-month,69.1,No,4.064705882352941,1105.6
Female,0,No,46,No,No,DSL,Month-to-month,43.95,No,0.9351063829787235,2021.7
Male,0,Yes,68,Yes,Yes,DSL,Two year,86.5,No,1.2536231884057971,5882.0
Male,0,No,38,Yes,Yes,DSL,Month-to-month,69.95,No,1.7935897435897437,2658.1
Male,1,No,30,Yes,No,DSL,Month-to-month,50.4,Yes,1.6258064516129032,1512.0
Female,1,No,5,Yes,No,Fiber optic,Month-to-month,78.95,Yes,13.158333333333333,394.75
Male,0,No,17,Yes,No,Fiber optic,Month-to-month,90.95,No,5.052777777777778,1546.15
Male,0,Yes,4,Yes,No,DSL,Two year,19.9,No,3.9799999999999995,79.6
Female,0,No,12,Yes,No,DSL,One year,20.15,No,1.5499999999999998,241.79999999999998
Male,0,Yes,72,Yes,Yes,DSL,Two year,90.6,No,1.2410958904109588,6523.2
Male,0,No,3,Yes,No,Fiber optic,Month-to-month,92.0,No,23.0,276.0
Male,0,No,56,Yes,Yes,Fiber optic,Month-to-month,94.45,Yes,1.6570175438596493,5289.2
Female,0,No,41,Yes,Yes,DSL,One year,24.85,No,0.5916666666666667,1018.85
Male,0,No,40,No,No,DSL,One year,36.0,No,0.8780487804878049,1440.0
Female,0,No,7,Yes,No,DSL,Month-to-month,78.5,No,9.8125,549.5
Male,0,No,69,Yes,No,DSL,Two year,19.95,No,0.285,1376.55
Male,0,Yes,7,Yes,No,DSL,One year,20.65,No,2.58125,144.54999999999998
Female,0,Yes,5,No,No,DSL,Month-to-month,30.5,No,5.083333333333333,152.5
Female,0,Yes,72,Yes,Yes,Fiber optic,Two year,106.1,No,1.4534246575342464,7639.2
Male,0,Yes,44,Yes,No,DSL,One year,20.5,No,0.45555555555555555,902.0
Female,0,No,65,Yes,Yes,Fiber optic,One year,95.5,No,1.446969696969697,6207.5
Female,0,No,3,Yes,Yes,DSL,Month-to-month,64.6,No,16.15,193.79999999999998
Male,0,No,24,Yes,No,DSL,Month-to-month,51.1,No,2.044,1226.4
Female,0,No,44,Yes,Yes,Fiber optic,Month-to-month,84.8,Yes,1.8844444444444444,3731.2
Female,1,No,72,Yes,Yes,DSL,Two year,89.1,No,1.2205479452054793,6415.2
Male,0,No,24,Yes,No,DSL,Month-to-month,54.95,No,2.198,1318.8000000000002
Male,0,No,1,Yes,No,DSL,Month-to-month,50.9,Yes,25.45,50.9
Male,0,No,22,Yes,No,DSL,Month-to-month,20.45,No,0.8891304347826087,449.9
Male,0,Yes,70,Yes,Yes,DSL,Two year,85.95,No,1.2105633802816902,6016.5
Male,0,Yes,25,Yes,Yes,DSL,Month-to-month,60.35,No,2.3211538461538463,1508.75
Male,0,Yes,37,Yes,No,DSL,Two year,19.8,No,0.5210526315789474,732.6
Female,1,Yes,22,Yes,Yes,Fiber optic,Month-to-month,85.35,No,3.710869565217391,1877.6999999999998
Female,0,Yes,59,Yes,Yes,DSL,Two year,72.1,No,1.2016666666666667,4253.9
Male,0,Yes,49,Yes,Yes,Fiber optic,Month-to-month,99.8,Yes,1.996,4890.2
Male,0,Yes,47,Yes,Yes,Fiber optic,Month-to-month,107.35,Yes,2.236458333333333,5045.45
Female,0,Yes,31,Yes,No,DSL,Month-to-month,19.55,Yes,0.6109375,606.0500000000001
Male,0,Yes,1,Yes,No,Fiber optic,Month-to-month,81.05,No,40.525,81.05
Male,0,No,3,Yes,No,DSL,Month-to-month,20.5,No,5.125,61.5
Female,0,No,53,Yes,Yes,Fiber optic,One year,111.8,No,2.0703703703703704,5925.4
Male,0,No,1,Yes,No,DSL,Month-to-month,20.2,No,10.1,20.2
Male,0,No,20,Yes,No,DSL,One year,19.7,No,0.9380952380952381,394.0
Female,0,No,3,Yes,No,Fiber optic,Month-to-month,79.1,Yes,19.775,237.29999999999998
Female,0,No,51,Yes,No,DSL,One year,19.85,No,0.38173076923076926,1012.35
Female,0,No,51,Yes,No,DSL,One year,60.5,No,1.1634615384615385,3085.5
Female,0,Yes,13,Yes,No,DSL,Two year,19.55,No,1.3964285714285716,254.15
Female,0,No,1,Yes,No,DSL,Month-to-month,20.9,No,10.45,20.9
Male,0,Yes,1,Yes,No,DSL,Month-to-month,21.05,No,10.525,21.05
Male,0,No,63,Yes,Yes,DSL,One year,71.5,No,1.1171875,4504.5
Male,0,No,3,Yes,No,DSL,Month-to-month,54.65,No,13.6625,163.95
Male,0,No,46,Yes,No,DSL,Two year,19.2,No,0.4085106382978723,883.1999999999999
Male,0,No,1,Yes,Yes,DSL,Month-to-month,49.8,No,24.9,49.8
Male,0,Yes,8,No,No,DSL,Month-to-month,25.5,Yes,2.8333333333333335,204.0
Female,0,Yes,71,Yes,No,DSL,Two year,20.5,No,0.2847222222222222,1455.5
Male,0,Yes,55,Yes,Yes,Fiber optic,Month-to-month,90.4,No,1.6142857142857143,4972.0
Female,0,No,70,Yes,Yes,Fiber optic,One year,90.25,No,1.2711267605633803,6317.5
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,80.75,Yes,26.916666666666668,161.5
Male,0,Yes,67,Yes,Yes,Fiber optic,Two year,104.6,No,1.538235294117647,7008.2
Male,0,No,65,Yes,Yes,Fiber optic,Month-to-month,91.85,Yes,1.3916666666666666,5970.25
Male,0,No,14,Yes,No,DSL,Month-to-month,50.2,No,3.3466666666666667,702.8000000000001
Female,0,Yes,20,Yes,Yes,Fiber optic,Month-to-month,95.5,No,4.5476190476190474,1910.0
Male,0,Yes,1,Yes,No,Fiber optic,Month-to-month,75.35,Yes,37.675,75.35
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,75.45,Yes,37.725,75.45
Female,0,Yes,49,Yes,Yes,Fiber optic,Month-to-month,95.4,No,1.9080000000000001,4674.6
Female,0,No,72,Yes,Yes,Fiber optic,Two year,101.3,No,1.3876712328767122,7293.599999999999
Female,0,No,46,Yes,Yes,DSL,Month-to-month,53.1,No,1.1297872340425532,2442.6
Male,0,No,24,Yes,Yes,Fiber optic,Month-to-month,84.85,No,3.3939999999999997,2036.3999999999999
Female,0,Yes,5,No,No,DSL,Month-to-month,34.25,No,5.708333333333333,171.25
