gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn
Female,0,Yes,45,No,No,DSL,Month-to-month,50.9,No
Male,0,No,42,Yes,Yes,DSL,One year,25.05,No
Male,0,No,8,Yes,Yes,Fiber optic,Month-to-month,74.85,No
Male,0,Yes,32,Yes,No,DSL,Two year,20.5,No
Female,1,No,22,Yes,Yes,DSL,Month-to-month,63.55,No
Male,1,No,57,No,No,DSL,Month-to-month,44.85,Yes
Male,0,No,1,Yes,No,DSL,Month-to-month,47.95,No
Male,1,No,1,Yes,No,DSL,Month-to-month,45.1,Yes
Female,0,No,1,Yes,No,DSL,Month-to-month,45,No
Male,0,No,24,Yes,No,Fiber optic,Month-to-month,96,Yes
Male,0,No,1,Yes,No,DSL,Month-to-month,20.05,Yes
Male,1,No,54,Yes,Yes,Fiber optic,Month-to-month,90.05,No
Female,0,No,4,Yes,Yes,DSL,Two year,25.3,No
Male,0,Yes,65,Yes,Yes,Fiber optic,Two year,108.65,Yes
Female,0,No,56,Yes,Yes,DSL,One year,24.3,No
Male,0,No,45,Yes,No,DSL,Month-to-month,75.95,No
Female,0,Yes,71,Yes,No,DSL,Two year,19.7,No
Male,0,No,59,Yes,No,DSL,One year,66.4,No
Male,0,No,69,No,No,DSL,One year,35.75,No
Male,0,No,19,Yes,No,DSL,One year,18.8,No
Female,0,Yes,55,Yes,No,DSL,Two year,19.4,No
Female,0,No,38,Yes,No,DSL,One year,19.3,No
Male,0,No,10,Yes,No,DSL,Month-to-month,45.55,Yes
Female,1,No,47,Yes,Yes,DSL,Month-to-month,67.45,No
Female,0,No,2,No,No,DSL,Month-to-month,35.1,Yes
Male,0,No,1,Yes,No,DSL,Month-to-month,46.2,Yes
Female,0,No,1,Yes,No,DSL,Month-to-month,45.15,Yes
Male,1,No,1,No,No,DSL,Month-to-month,43.3,Yes
Male,0,Yes,46,Yes,No,DSL,Two year,20.1,No
Female,1,No,38,Yes,No,DSL,Month-to-month,57.15,Yes
Female,0,No,65,Yes,No,DSL,Two year,58.9,No
Female,0,No,19,Yes,No,Fiber optic,Month-to-month,73.2,Yes
Male,0,No,52,Yes,No,Fiber optic,Month-to-month,85.35,Yes
Male,0,Yes,71,Yes,No,DSL,Two year,19.45,No
Female,0,No,1,Yes,No,DSL,Month-to-month,45.95,Yes
Female,1,No,52,No,No,DSL,Month-to-month,50.5,No
Male,0,No,6,Yes,Yes,DSL,One year,25.1,No
Female,1,No,26,Yes,No,DSL,One year,60.7,No
Male,1,No,48,Yes,Yes,Fiber optic,One year,99,No
Female,0,Yes,64,Yes,Yes,Fiber optic,One year,104.4,No
Female,0,No,3,Yes,No,Fiber optic,Month-to-month,83.75,Yes
Male,0,No,1,Yes,No,DSL,Month-to-month,44.05,No
Male,0,Yes,72,Yes,Yes,DSL,Two year,24.1,No
Male,0,No,1,Yes,No,DSL,Month-to-month,45.55,No
Female,0,Yes,51,Yes,Yes,Fiber optic,Month-to-month,93.8,No
Female,0,Yes,41,Yes,No,DSL,Two year,19.7,No
Female,0,Yes,72,Yes,No,DSL,Two year,70.65,No
Female,0,No,43,Yes,Yes,DSL,Two year,86.45,No
Male,0,No,72,Yes,Yes,Fiber optic,Two year,114.1,No
Male,0,No,47,Yes,Yes,Fiber optic,One year,95.2,No
Male,0,No,72,Yes,Yes,DSL,Two year,88.55,No
Male,0,No,3,Yes,No,DSL,Month-to-month,20.75,No
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,70.05,Yes
Male,0,No,2,Yes,Yes,Fiber optic,Month-to-month,86,Yes
Male,0,No,26,No,No,DSL,Month-to-month,44.65,No
Male,0,Yes,29,Yes,No,DSL,Month-to-month,60.2,No
Female,1,No,35,Yes,Yes,Fiber optic,Month-to-month,100.5,Yes
Male,0,No,27,Yes,No,DSL,One year,55.45,No
Male,0,Yes,24,Yes,No,DSL,Month-to-month,70.3,No
Male,0,Yes,67,Yes,No,DSL,Two year,60.4,No
Female,0,No,16,Yes,Yes,Fiber optic,Month-to-month,72.65,Yes
Female,0,No,23,Yes,No,DSL,One year,55.8,No
Male,0,No,14,No,No,DSL,Month-to-month,31.1,No
Female,0,Yes,1,Yes,No,DSL,Month-to-month,21,Yes
Female,1,No,1,Yes,No,DSL,Month-to-month,45.1,Yes
Male,1,No,4,No,No,DSL,Month-to-month,50.95,No
Male,0,Yes,16,Yes,Yes,DSL,Month-to-month,69.1,No
Female,0,No,46,No,No,DSL,Month-to-month,43.95,No
Male,0,Yes,68,Yes,Yes,DSL,Two year,86.5,No
Male,0,No,38,Yes,Yes,DSL,Month-to-month,69.95,No
Male,1,No,30,Yes,No,DSL,Month-to-month,50.4,Yes
Female,1,No,5,Yes,No,Fiber optic,Month-to-month,78.95,Yes
Male,0,No,17,Yes,No,Fiber optic,Month-to-month,90.95,No
Male,0,Yes,4,Yes,No,DSL,Two year,19.9,No
Female,0,No,12,Yes,No,DSL,One year,20.15,No
Male,0,Yes,72,Yes,Yes,DSL,Two year,90.6,No
Male,0,No,3,Yes,No,Fiber optic,Month-to-month,92,No
Male,0,No,56,Yes,Yes,Fiber optic,Month-to-month,94.45,Yes
Female,0,No,41,Yes,Yes,DSL,One year,24.85,No
Male,0,No,40,No,No,DSL,One year,36,No
Female,0,No,7,Yes,No,DSL,Month-to-month,78.5,No
Male,0,No,69,Yes,No,DSL,Two year,19.95,No
Male,0,Yes,7,Yes,No,DSL,One year,20.65,No
Female,0,Yes,5,No,No,DSL,Month-to-month,30.5,No
Female,0,Yes,72,Yes,Yes,Fiber optic,Two year,106.1,No
Male,0,Yes,44,Yes,No,DSL,One year,20.5,No
Female,0,No,65,Yes,Yes,Fiber optic,One year,95.5,No
Female,0,No,3,Yes,Yes,DSL,Month-to-month,64.6,No
Male,0,No,24,Yes,No,DSL,Month-to-month,51.1,No
Female,0,No,44,Yes,Yes,Fiber optic,Month-to-month,84.8,Yes
Female,1,No,72,Yes,Yes,DSL,Two year,89.1,No
Male,0,No,24,Yes,No,DSL,Month-to-month,54.95,No
Male,0,No,1,Yes,No,DSL,Month-to-month,50.9,Yes
Male,0,No,22,Yes,No,DSL,Month-to-month,20.45,No
Male,0,Yes,70,Yes,Yes,DSL,Two year,85.95,No
Male,0,Yes,25,Yes,Yes,DSL,Month-to-month,60.35,No
Male,0,Yes,37,Yes,No,DSL,Two year,19.8,No
Female,1,Yes,22,Yes,Yes,Fiber optic,Month-to-month,85.35,No
Female,0,Yes,59,Yes,Yes,DSL,Two year,72.1,No
Male,0,Yes,49,Yes,Yes,Fiber optic,Month-to-month,99.8,Yes
Male,0,Yes,47,Yes,Yes,Fiber optic,Month-to-month,107.35,Yes
Female,0,Yes,31,Yes,No,DSL,Month-to-month,19.55,Yes
Male,0,Yes,1,Yes,No,Fiber optic,Month-to-month,81.05,No
Male,0,No,3,Yes,No,DSL,Month-to-month,20.5,No
Female,0,No,53,Yes,Yes,Fiber optic,One year,111.8,No
Male,0,No,1,Yes,No,DSL,Month-to-month,20.2,No
Male,0,No,20,Yes,No,DSL,One year,19.7,No
Female,0,No,3,Yes,No,Fiber optic,Month-to-month,79.1,Yes
Female,0,No,51,Yes,No,DSL,One year,19.85,No
Female,0,No,51,Yes,No,DSL,One year,60.5,No
Female,0,Yes,13,Yes,No,DSL,Two year,19.55,No
Female,0,No,1,Yes,No,DSL,Month-to-month,20.9,No
Male,0,Yes,1,Yes,No,DSL,Month-to-month,21.05,No
Male,0,No,63,Yes,Yes,DSL,One year,71.5,No
Male,0,No,3,Yes,No,DSL,Month-to-month,54.65,No
Male,0,No,46,Yes,No,DSL,Two year,19.2,No
Male,0,No,1,Yes,Yes,DSL,Month-to-month,49.8,No
Male,0,Yes,8,No,No,DSL,Month-to-month,25.5,Yes
Female,0,Yes,71,Yes,No,DSL,Two year,20.5,No
Male,0,Yes,55,Yes,Yes,Fiber optic,Month-to-month,90.4,No
Female,0,No,70,Yes,Yes,Fiber optic,One year,90.25,No
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,80.75,Yes
Male,0,Yes,67,Yes,Yes,Fiber optic,Two year,104.6,No
Male,0,No,65,Yes,Yes,Fiber optic,Month-to-month,91.85,Yes
Male,0,No,14,Yes,No,DSL,Month-to-month,50.2,No
Female,0,Yes,20,Yes,Yes,Fiber optic,Month-to-month,95.5,No
Male,0,Yes,1,Yes,No,Fiber optic,Month-to-month,75.35,Yes
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,75.45,Yes
Female,0,Yes,49,Yes,Yes,Fiber optic,Month-to-month,95.4,No
Female,0,No,72,Yes,Yes,Fiber optic,Two year,101.3,No
Female,0,No,46,Yes,Yes,DSL,Month-to-month,53.1,No
Male,0,No,24,Yes,Yes,Fiber optic,Month-to-month,84.85,No
Female,0,Yes,5,No,No,DSL,Month-to-month,34.25,No
Female,0,Yes,33,Yes,Yes,Fiber optic,Month-to-month,88.6,No
Female,0,No,42,Yes,Yes,DSL,One year,60.15,No
Male,0,No,23,Yes,No,Fiber optic,One year,99.95,No
Male,0,No,8,Yes,No,Fiber optic,Month-to-month,70.7,No
Male,0,No,66,Yes,No,DSL,One year,54.8,No
Male,0,No,24,Yes,No,DSL,Month-to-month,49.55,Yes
Male,1,No,24,Yes,Yes,DSL,Month-to-month,54.8,No
Male,0,No,69,Yes,Yes,DSL,One year,78.6,Yes
Female,0,No,53,Yes,No,Fiber optic,One year,100.3,No
Female,0,No,60,No,No,DSL,Two year,53.6,No
Female,0,No,7,Yes,No,Fiber optic,Month-to-month,81.1,Yes
Female,0,No,20,Yes,No,DSL,One year,19.35,No
Female,0,Yes,23,Yes,Yes,Fiber optic,Month-to-month,85.6,No
Male,0,Yes,72,Yes,No,DSL,Two year,80.8,No
Male,0,No,11,Yes,Yes,Fiber optic,Month-to-month,74.95,Yes
Male,0,No,21,Yes,No,DSL,Two year,19.6,No
Male,1,No,1,Yes,Yes,Fiber optic,Month-to-month,93.55,Yes
Male,1,No,31,Yes,Yes,Fiber optic,Month-to-month,90.7,No
Female,0,No,57,Yes,No,DSL,Two year,69.75,No
Female,0,Yes,45,Yes,No,DSL,Two year,20,No
Male,0,No,10,Yes,Yes,Fiber optic,Month-to-month,95.25,No
Female,0,No,58,Yes,Yes,Fiber optic,Month-to-month,102.1,Yes
Male,0,Yes,14,Yes,No,DSL,Month-to-month,19.95,No
Male,0,No,27,Yes,Yes,DSL,One year,80.85,No
Female,0,Yes,14,Yes,Yes,Fiber optic,Month-to-month,90.9,Yes
Female,0,Yes,12,No,No,DSL,Month-to-month,29.2,Yes
Female,0,Yes,69,Yes,Yes,Fiber optic,Two year,93.3,No
Female,0,Yes,25,Yes,No,Fiber optic,Month-to-month,89.15,Yes
Male,1,No,58,Yes,Yes,Fiber optic,One year,108.85,Yes
Female,0,Yes,35,No,No,DSL,Two year,46.35,No
Female,1,No,16,Yes,Yes,Fiber optic,Month-to-month,84.75,Yes
Male,0,Yes,45,Yes,Yes,DSL,One year,78.75,No
Female,0,No,17,Yes,No,Fiber optic,Month-to-month,83.55,No
Female,0,Yes,1,Yes,No,DSL,Month-to-month,45.7,Yes
Male,0,No,22,Yes,No,DSL,One year,19.6,No
Female,1,No,1,Yes,No,Fiber optic,Month-to-month,69.95,Yes
Male,0,Yes,67,Yes,No,DSL,Two year,67.85,No
Female,0,Yes,67,Yes,Yes,Fiber optic,Two year,105.65,No
Female,0,No,2,No,No,DSL,Month-to-month,44.6,Yes
Male,0,No,23,Yes,Yes,Fiber optic,Month-to-month,74.95,Yes
Female,1,No,9,Yes,No,Fiber optic,Month-to-month,75.5,No
Female,0,No,5,Yes,No,DSL,Month-to-month,20.15,No
Male,0,No,54,No,No,DSL,Two year,45.2,No
Female,0,No,57,Yes,No,Fiber optic,Two year,95.25,Yes
Male,0,No,24,Yes,Yes,Fiber optic,Month-to-month,89.85,Yes
Female,0,Yes,49,Yes,Yes,Fiber optic,One year,100.45,Yes
Male,0,No,5,Yes,Yes,DSL,Month-to-month,47.15,Yes
Male,0,No,2,Yes,No,Fiber optic,Month-to-month,80.2,Yes
Female,0,Yes,4,Yes,Yes,Fiber optic,Month-to-month,87.1,Yes
Male,0,Yes,70,Yes,Yes,DSL,Two year,79.25,No
Male,0,No,5,Yes,Yes,Fiber optic,Month-to-month,75.9,Yes
Male,0,Yes,53,Yes,Yes,DSL,Month-to-month,85.7,No
Female,0,No,47,Yes,Yes,Fiber optic,Month-to-month,98.75,Yes
Female,0,Yes,31,Yes,No,DSL,One year,20.1,No
Male,0,Yes,13,Yes,No,DSL,Month-to-month,61.8,No
Female,0,Yes,28,Yes,Yes,DSL,Month-to-month,49.9,No
Female,0,No,10,Yes,Yes,Fiber optic,Month-to-month,86.45,Yes
Male,0,No,38,Yes,No,DSL,Two year,20.4,No
Female,0,No,1,Yes,No,DSL,Month-to-month,45.3,Yes
Male,0,No,67,Yes,Yes,Fiber optic,One year,104.1,Yes
Male,0,No,52,Yes,No,DSL,One year,75.4,No
Male,0,Yes,62,Yes,No,Fiber optic,Two year,108.15,No
Female,0,No,16,Yes,No,Fiber optic,Month-to-month,86.25,No
Female,1,No,5,Yes,Yes,Fiber optic,Month-to-month,81,Yes
Male,0,No,12,Yes,No,Fiber optic,One year,95.7,No
Female,0,Yes,72,Yes,Yes,Fiber optic,Two year,116.85,No
Male,1,No,71,Yes,Yes,Fiber optic,One year,105.75,No
Female,0,No,24,Yes,No,DSL,One year,20.15,No
Female,0,No,15,Yes,No,DSL,Two year,19.6,No
Male,0,No,67,Yes,No,Fiber optic,One year,90.6,Yes
Male,0,Yes,2,Yes,Yes,DSL,Month-to-month,60.95,No
Female,0,Yes,5,No,No,DSL,Month-to-month,25.05,No
Female,0,No,15,Yes,No,Fiber optic,Month-to-month,88.15,Yes
Male,0,No,1,Yes,No,DSL,Month-to-month,20.2,Yes
Male,0,Yes,41,Yes,No,DSL,One year,60.3,No
Female,0,Yes,43,Yes,No,DSL,Month-to-month,63.95,No
Male,1,No,1,Yes,Yes,Fiber optic,Month-to-month,74.3,No
Female,1,No,1,Yes,No,Fiber optic,Month-to-month,70.6,No
Female,0,Yes,26,Yes,No,Fiber optic,Month-to-month,90.8,Yes
Male,0,No,22,Yes,Yes,Fiber optic,Month-to-month,79.35,Yes
Male,0,No,71,Yes,Yes,DSL,Two year,90.55,No
Male,0,No,7,Yes,No,DSL,Two year,19.45,No
Female,1,No,28,Yes,Yes,DSL,Month-to-month,64.45,No
Male,1,No,16,Yes,No,Fiber optic,Month-to-month,69.65,No
Male,0,No,7,Yes,No,DSL,One year,19.5,No
Female,0,No,69,Yes,Yes,Fiber optic,Two year,110.5,No
Female,0,Yes,1,No,No,DSL,Month-to-month,24.7,No
Male,0,No,3,Yes,No,DSL,Month-to-month,77.4,No
Male,1,No,21,Yes,No,Fiber optic,Month-to-month,96.8,Yes
Female,0,No,69,Yes,Yes,Fiber optic,Month-to-month,85.4,No
Female,0,No,71,No,No,DSL,Two year,47.6,No
Female,0,Yes,69,Yes,No,DSL,Two year,19.4,No
Female,0,No,48,Yes,Yes,Fiber optic,Month-to-month,103.85,No
Male,0,No,47,Yes,Yes,Fiber optic,Month-to-month,83.35,Yes
Female,0,No,2,Yes,Yes,DSL,Month-to-month,49.4,Yes
Male,0,No,45,Yes,Yes,Fiber optic,Month-to-month,108.45,No
Male,0,No,51,Yes,Yes,Fiber optic,Month-to-month,81,No
Female,0,No,22,Yes,Yes,DSL,Month-to-month,79.2,Yes
Male,0,No,72,Yes,Yes,DSL,Two year,86.65,No
Male,0,Yes,37,Yes,Yes,Fiber optic,Month-to-month,92.95,No
Male,0,Yes,71,Yes,Yes,DSL,Two year,90.35,No
Male,0,Yes,7,Yes,No,DSL,Month-to-month,48.7,Yes
Female,0,No,66,Yes,Yes,DSL,Two year,25.15,No
Male,0,Yes,51,Yes,No,DSL,One year,76.4,No
Female,0,Yes,30,Yes,No,DSL,One year,19.55,No
Female,0,No,34,Yes,Yes,Fiber optic,Month-to-month,85.35,No
Male,0,Yes,64,Yes,Yes,DSL,Two year,24.8,No
Male,1,No,65,Yes,Yes,Fiber optic,One year,103.15,No
Male,0,No,47,Yes,Yes,Fiber optic,Month-to-month,100.75,No
Female,0,No,1,Yes,No,Fiber optic,Month-to-month,95.6,Yes
Female,0,No,49,Yes,Yes,DSL,Month-to-month,59.75,Yes
Female,0,Yes,67,Yes,Yes,Fiber optic,Two year,94.1,No
Male,0,Yes,39,Yes,No,DSL,One year,19.35,No
Male,0,No,14,Yes,No,DSL,Month-to-month,19.9,No
Female,1,No,43,Yes,No,Fiber optic,Month-to-month,108.15,Yes
Male,1,No,56,Yes,Yes,Fiber optic,Month-to-month,101.05,No
Female,0,No,14,Yes,No,DSL,One year,59.1,No
Female,0,No,1,Yes,No,Fiber optic,Month-to-month,71.35,Yes
Male,0,Yes,16,Yes,No,DSL,One year,55.85,No
Male,0,Yes,70,Yes,Yes,Fiber optic,Month-to-month,106.05,No
Male,1,No,72,Yes,Yes,DSL,Two year,84.1,No
Female,0,Yes,23,Yes,No,Fiber optic,Month-to-month,75.3,No
Male,0,Yes,21,Yes,Yes,DSL,Month-to-month,24.7,No
Female,0,No,1,Yes,No,DSL,Month-to-month,20.15,Yes
Male,0,Yes,1,Yes,No,Fiber optic,Month-to-month,69.75,Yes
Female,1,No,32,Yes,Yes,Fiber optic,Month-to-month,93.2,Yes
Male,0,Yes,17,Yes,No,Fiber optic,Month-to-month,80.85,Yes
Female,0,No,4,No,No,DSL,Month-to-month,33.65,Yes
Female,0,No,36,Yes,Yes,DSL,One year,55.8,No
Female,0,No,50,No,No,DSL,Two year,39.7,No
Female,0,Yes,48,No,No,DSL,Month-to-month,29.5,No
Female,0,Yes,50,Yes,No,DSL,Two year,20.15,No
Male,0,No,72,Yes,Yes,DSL,Two year,79.55,No
Male,0,Yes,10,Yes,Yes,DSL,Month-to-month,24.8,No
Female,0,No,18,Yes,No,DSL,Month-to-month,19.65,No
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,79.95,Yes
Female,0,No,1,Yes,No,DSL,Month-to-month,19.3,Yes
Male,0,No,9,Yes,No,Fiber optic,Month-to-month,94.05,No
Male,0,No,2,Yes,Yes,Fiber optic,Month-to-month,90.75,No
Female,0,No,40,Yes,Yes,Fiber optic,Month-to-month,78.85,No
Male,0,No,69,Yes,Yes,Fiber optic,One year,99.5,No
Female,0,No,37,Yes,Yes,Fiber optic,One year,99.2,Yes
Male,0,Yes,18,Yes,Yes,Fiber optic,Month-to-month,80.55,No
Male,1,No,11,Yes,No,Fiber optic,Month-to-month,70.2,No
Female,0,No,8,Yes,Yes,Fiber optic,Month-to-month,85.2,Yes
Female,0,No,3,Yes,Yes,Fiber optic,Month-to-month,75.25,Yes
Male,0,Yes,55,Yes,No,DSL,One year,59.45,No
Male,0,No,33,Yes,Yes,Fiber optic,Month-to-month,93.35,No
Female,0,No,46,Yes,No,DSL,Month-to-month,44.95,No
Male,0,No,34,Yes,Yes,DSL,Two year,26.1,No
Female,0,No,3,Yes,No,DSL,Month-to-month,20.2,No
Male,0,Yes,30,Yes,No,DSL,Two year,21.25,No
Female,0,No,33,Yes,Yes,DSL,One year,59.4,No
Male,0,Yes,45,Yes,Yes,Fiber optic,One year,95,No
Male,0,No,40,Yes,No,DSL,Month-to-month,61.9,No
Female,0,No,71,Yes,Yes,Fiber optic,Two year,118.65,No
Male,0,No,1,Yes,Yes,DSL,Month-to-month,54.35,Yes
Female,0,Yes,72,No,No,DSL,Two year,64.45,No
Female,0,Yes,22,Yes,No,Fiber optic,Month-to-month,80.15,No
Male,0,Yes,46,Yes,No,DSL,One year,20.2,No
Female,0,Yes,55,Yes,No,DSL,Two year,21,No
Male,0,No,1,Yes,No,DSL,Month-to-month,20.45,No
Female,0,No,12,Yes,Yes,DSL,One year,75.85,No
Male,0,No,31,Yes,Yes,Fiber optic,Month-to-month,80.45,No
Male,0,No,5,No,No,DSL,Month-to-month,24.95,Yes
Female,0,Yes,67,Yes,Yes,DSL,Two year,75.5,No
Male,0,No,1,Yes,No,DSL,Month-to-month,44.45,No
Male,0,No,40,No,No,DSL,One year,42.35,Yes
Male,0,Yes,41,Yes,Yes,DSL,Month-to-month,74.55,No
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,75.3,Yes
Male,0,No,51,Yes,Yes,Fiber optic,One year,94.8,Yes
Male,0,Yes,42,No,No,DSL,Two year,48.15,No
Male,0,Yes,23,Yes,No,DSL,One year,19.65,No
Female,1,No,1,Yes,No,Fiber optic,Month-to-month,70.55,Yes
Female,0,No,1,Yes,No,DSL,Month-to-month,20.15,No
Female,0,No,56,Yes,Yes,Fiber optic,Month-to-month,106.6,No
Male,0,Yes,15,Yes,Yes,Fiber optic,Month-to-month,91,No
Male,0,Yes,12,Yes,Yes,DSL,Two year,25.4,No
Female,0,Yes,54,Yes,No,DSL,Two year,69.95,No
Female,0,No,7,Yes,No,DSL,Month-to-month,66.85,No
Female,0,Yes,33,Yes,Yes,Fiber optic,Month-to-month,86.15,Yes
Male,0,Yes,16,Yes,No,DSL,Month-to-month,20.15,No
Female,0,Yes,21,Yes,No,DSL,One year,64.85,No
Male,1,No,30,Yes,Yes,DSL,Two year,74.85,No
Male,0,No,3,Yes,No,DSL,Month-to-month,50.5,No
Male,0,No,11,Yes,No,Fiber optic,Month-to-month,72.9,No
Female,0,No,62,Yes,Yes,Fiber optic,One year,115.05,No
Male,0,No,18,Yes,No,DSL,Month-to-month,19,No
Male,0,Yes,6,Yes,No,DSL,Month-to-month,19.55,No
Female,0,No,46,Yes,Yes,Fiber optic,One year,101.1,No
Male,0,No,21,Yes,Yes,Fiber optic,Month-to-month,84.1,No
Male,0,No,68,Yes,Yes,DSL,Two year,24.15,No
Female,0,No,1,Yes,Yes,DSL,Month-to-month,50.1,No
Female,0,No,25,Yes,No,Fiber optic,Month-to-month,74.6,No
Female,0,Yes,24,Yes,No,DSL,Two year,19.75,No
Female,0,No,30,Yes,Yes,Fiber optic,Month-to-month,85,Yes
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,80.55,Yes
Male,0,No,51,Yes,Yes,Fiber optic,One year,106.8,No
Female,0,Yes,57,Yes,Yes,DSL,Two year,84.5,No
Female,0,No,15,Yes,Yes,DSL,Two year,25.05,No
Female,0,Yes,72,Yes,No,DSL,Two year,83.7,No
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,75.8,Yes
Male,0,No,28,Yes,Yes,Fiber optic,Month-to-month,96.6,No
Male,1,No,29,Yes,Yes,Fiber optic,Month-to-month,98.5,Yes
Male,0,Yes,70,Yes,No,Fiber optic,Two year,101.1,No
Female,0,No,13,Yes,No,DSL,One year,20.2,No
Female,1,No,59,Yes,Yes,Fiber optic,One year,94.05,No
Male,1,No,13,Yes,Yes,Fiber optic,Month-to-month,95.25,Yes
Male,1,No,7,Yes,Yes,Fiber optic,Month-to-month,74.4,Yes
Female,0,No,62,Yes,No,DSL,Two year,81,No
Female,0,No,21,Yes,No,DSL,One year,60.25,No
Female,0,No,2,Yes,No,DSL,Month-to-month,60.85,No
Female,0,No,1,Yes,No,DSL,Month-to-month,43.95,No
Male,0,No,4,Yes,No,Fiber optic,Month-to-month,86.05,No
Female,0,No,19,Yes,No,DSL,One year,20.25,No
Female,0,No,30,Yes,No,Fiber optic,Month-to-month,85.15,Yes
Male,0,Yes,67,Yes,No,DSL,Two year,19.4,No
Male,1,No,72,Yes,Yes,Fiber optic,Two year,102.65,No
Male,0,No,53,Yes,No,DSL,Two year,19.9,No
Female,0,No,5,Yes,No,DSL,One year,19.55,No
Male,1,No,71,Yes,No,Fiber optic,Two year,95.5,No
Female,0,Yes,50,Yes,Yes,DSL,One year,84.15,No
Male,0,Yes,56,Yes,Yes,Fiber optic,Two year,103.2,No
Male,0,No,2,Yes,No,DSL,Month-to-month,50.2,No
Female,1,No,2,Yes,Yes,Fiber optic,Month-to-month,88.55,Yes
Male,0,Yes,24,Yes,Yes,DSL,Month-to-month,54.75,Yes
Male,0,Yes,46,Yes,No,DSL,Two year,19.95,No
Male,0,No,71,Yes,Yes,Fiber optic,Two year,116.25,No
Female,0,No,29,No,No,DSL,Month-to-month,31.2,No
Male,0,Yes,69,Yes,Yes,DSL,Two year,24.45,No
Male,0,No,71,Yes,Yes,DSL,Two year,84.2,No
Female,1,No,1,Yes,No,Fiber optic,Month-to-month,91.3,Yes
Male,1,No,56,Yes,No,DSL,Two year,85.65,No
Male,0,Yes,56,Yes,No,DSL,One year,21.2,No
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,79.5,Yes
Female,0,No,28,Yes,Yes,DSL,One year,25.55,No
Female,0,Yes,19,Yes,No,DSL,Month-to-month,20.2,No
Male,0,No,66,Yes,Yes,DSL,Month-to-month,63.85,No
Female,0,Yes,17,Yes,Yes,DSL,One year,61.95,No
Male,0,Yes,52,Yes,Yes,DSL,Two year,25.75,No
Female,0,No,19,Yes,No,DSL,One year,58.2,No
Female,0,No,36,Yes,No,DSL,One year,85.85,No
Male,1,No,7,Yes,No,Fiber optic,Month-to-month,70.1,Yes
Male,0,Yes,72,Yes,Yes,Fiber optic,One year,104.9,No
Male,0,Yes,67,Yes,Yes,Fiber optic,One year,111.3,Yes
Male,1,No,34,Yes,No,Fiber optic,One year,99.85,No
Male,1,No,57,Yes,Yes,Fiber optic,Month-to-month,95.25,Yes
Female,0,No,7,Yes,No,Fiber optic,Month-to-month,86.25,Yes
Female,1,No,1,Yes,Yes,Fiber optic,Month-to-month,100.8,Yes
Male,0,No,8,Yes,No,DSL,Month-to-month,19.55,No
Female,0,No,69,Yes,Yes,Fiber optic,Two year,104,No
Female,0,No,50,Yes,Yes,Fiber optic,One year,104.4,No
Male,0,No,10,Yes,No,DSL,One year,19.5,No
Female,0,Yes,12,Yes,Yes,DSL,Two year,25.25,No
Female,0,No,14,Yes,No,Fiber optic,Month-to-month,86.3,Yes
Female,0,No,70,No,No,DSL,Two year,49.85,No
Female,1,No,64,Yes,Yes,Fiber optic,Month-to-month,108.95,No
Female,0,Yes,66,Yes,Yes,DSL,Two year,89.9,No
Female,0,Yes,71,Yes,No,DSL,Two year,82,No
Male,1,No,20,Yes,No,Fiber optic,Month-to-month,89.95,No
Male,0,No,72,Yes,No,DSL,Two year,79.35,No
Female,0,Yes,71,Yes,No,DSL,Two year,64.05,No
Male,0,Yes,38,Yes,Yes,Fiber optic,Month-to-month,101.15,No
Female,0,No,28,Yes,Yes,Fiber optic,Month-to-month,89.95,Yes
Male,1,No,17,Yes,No,Fiber optic,Month-to-month,76.45,Yes
Male,0,No,33,No,No,DSL,One year,39.1,No
Female,0,Yes,23,No,No,DSL,Two year,34.6,No
Male,0,Yes,58,Yes,No,DSL,One year,19.55,No
Female,1,No,70,Yes,Yes,Fiber optic,Two year,104.45,No
Male,0,No,4,Yes,No,Fiber optic,Month-to-month,70.5,No
Male,0,Yes,45,Yes,No,DSL,Two year,20.35,No
Male,0,No,10,Yes,No,Fiber optic,Month-to-month,70,Yes
Male,0,Yes,36,Yes,No,DSL,Two year,19.45,No
Male,0,No,54,Yes,No,DSL,Month-to-month,69.9,No
Male,0,Yes,23,Yes,Yes,DSL,Two year,59.7,No
Female,0,Yes,41,Yes,Yes,DSL,One year,78.35,No
Male,1,No,5,Yes,No,Fiber optic,Month-to-month,71.45,No
Male,0,Yes,27,No,No,DSL,One year,45.85,No
Female,0,No,1,Yes,No,Fiber optic,Month-to-month,95.85,No
Female,0,Yes,67,No,No,DSL,Two year,35.7,No
Female,1,Yes,72,Yes,Yes,DSL,Two year,89.55,No
Female,0,Yes,56,Yes,Yes,DSL,Two year,24.95,No
Male,0,Yes,44,Yes,Yes,DSL,One year,24.85,No
